wordID	wordCS	word	lemma	Pos
387	's	's	's	ge_vbz
388	around	around	around	rp
389	guess	guess	guess	vv0
390	like	like	like	vv0
391	Or	or	or	cc
392	found	found	find	vvd
393	tonight	tonight	tonight	rt
394	wife	wife	wife	nn1
395	feel	feel	feel	vv0
396	wrong	wrong	wrong	jj_rr@
397	friends	friends	friend	nn2
398	When	when	when	cs_rrq
399	leave	leave	leave	vvi
400	myself	myself	myself	ppx1
401	'	'	'	"@_ge
402	at	at	at	rr21
403	put	put	put	vvi
404	in	in	in	rp@_ii
405	#	#	#	fo
406	school	school	school	nn1
407	days	days	day	nnt2
408	stop	stop	stop	vvi
409	i	i	i	zz1_mc1
410	before	before	before	cs
411	look	look	look	vv0
412	wants	wants	want	vvz
413	anyone	anyone	anyone	pn1
414	's	's	be	vbz_ge
415	work	work	work	vvi
416	head	head	head	nn1
417	probably	probably	probably	rr
418	dad	dad	dad	nn1
419	business	business	business	nn1
420	case	case	case	nn1
421	See	see	see	vv0
422	part	part	part	nn1
423	whole	whole	whole	jj
424	says	says	say	vvz
425	*	*	*	fu
426	'	'	'	"@
427	got	got	get	vvd_vvn
428	Um	um	um	uh
429	little	little	little	rr22
430	OK	ok	ok	rr
431	Really	really	really	rr
432	One	one	one	mc1
433	Of	of	of	rr21
434	-	-	--	#jj_nn1
435	Dr	dr	--	#nnb
436	also	also	also	rr
437	TO	to	to	to
438	phone	phone	phone	nn1
439	stuff	stuff	stuff	nn1
440	working	working	work	vvg
441	one	one	one	pn1_mc1
442	happy	happy	happy	jj
443	minutes	minutes	minute	nnt2
444	men	men	man	nn2
445	where	where	where	cs_rrq
446	person	person	person	nn1
447	kids	kids	kid	nn2
448	AND	and	and	cc
449	best	best	best	jjt
450	let	let	let	vv0
451	A	a	a	at1_zz1
452	make	make	make	vv0
453	supposed	supposed	supposed	jj
454	when	when	when	cs
455	huh	huh	huh	uh
456	year	year	year	nnt1
457	feel	feel	feel	vvi
458	minute	minute	minute	nnt1
459	Dad	dad	dad	nn1
460	gave	gave	give	vvd
461	knows	knows	know	vvz
462	Right	right	right	rr_nn1_jj
463	right	right	right	rr
464	That	that	that	dd1_cst
465	exactly	exactly	exactly	rr
466	as	as	as	rg
467	nice	nice	nice	jj
468	taking	taking	take	vvg
469	stay	stay	stay	vvi
470	understand	understand	understand	vvi
471	chance	chance	chance	nn1
472	week	week	week	nnt1
473	point	point	point	nn1
474	To	to	to	to
475	hours	hours	hour	nnt2
476	try	try	try	vvi
477	mom	mom	mom	nn1
478	makes	makes	make	vvz
479	brother	brother	brother	nn1
480	love	love	love	nn1
481	meet	meet	meet	vvi
482	body	body	body	nn1
483	everyone	everyone	everyone	pn1
484	such	such	such	da
485	making	making	make	vvg
486	No	no	no	at_uh
487	door	door	door	nn1
488	'	'	'	ge_"@
489	different	different	different	jj
490	kid	kid	kid	nn1
491	No	no	no	at
492	Tell	tell	tell	vv0
493	looks	looks	look	vvz
494	give	give	give	vv0
495	up	up	up	rp_ii@
496	if	if	if	csw@_cs
497	had	had	have	vhn
498	um	um	um	uh
499	look	look	look	vv0_nn1
500	thank	thank	thank	vv0
501	've	've	have	vhi
502	party	party	party	nn1
503	enough	enough	enough	rr
504	tomorrow	tomorrow	tomorrow	rt
505	use	use	use	vvi
506	more	more	more	rgr
507	gets	gets	get	vvz
508	word	word	word	nn1
